NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_TNFA_SIGNALING_VIA_NFKB%MSIGDBHALLMARK%HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB%MSIGDBHALLMARK%HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	132	0.46890646	2.345693	0.0	0.020844761	0.012	3326	tags=45%, list=26%, signal=60%	
REGULATION OF MRNA SPLICING, VIA SPLICEOSOME%GOBP%GO:0048024	REGULATION OF MRNA SPLICING, VIA SPLICEOSOME%GOBP%GO:0048024	Details ...	76	0.4776312	2.167139	0.0	0.119197525	0.136	2718	tags=51%, list=21%, signal=65%	
INTERLEUKIN-4 AND INTERLEUKIN-13 SIGNALING%REACTOME%R-HSA-6785807.8	INTERLEUKIN-4 AND INTERLEUKIN-13 SIGNALING%REACTOME%R-HSA-6785807.8	Details ...	61	0.48256335	2.155251	0.0	0.0896847	0.152	2664	tags=41%, list=21%, signal=51%	
HALLMARK_KRAS_SIGNALING_UP%MSIGDBHALLMARK%HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP%MSIGDBHALLMARK%HALLMARK_KRAS_SIGNALING_UP	Details ...	79	0.4476983	2.0853388	0.0	0.15913129	0.325	2101	tags=35%, list=16%, signal=42%	
LATE ENDOSOME TO VACUOLE TRANSPORT%GOBP%GO:0045324	LATE ENDOSOME TO VACUOLE TRANSPORT%GOBP%GO:0045324	Details ...	34	0.5468035	2.072373	0.0	0.14937955	0.375	1777	tags=41%, list=14%, signal=48%	
REGULATION OF LYMPHOCYTE APOPTOTIC PROCESS%GOBP%GO:0070228	REGULATION OF LYMPHOCYTE APOPTOTIC PROCESS%GOBP%GO:0070228	Details ...	20	0.62714034	2.0637054	0.0029069767	0.13621475	0.402	1936	tags=55%, list=15%, signal=65%	
MULTIVESICULAR BODY ASSEMBLY%GOBP%GO:0036258	MULTIVESICULAR BODY ASSEMBLY%GOBP%GO:0036258	Details ...	31	0.55529886	2.062669	0.0	0.11768749	0.405	1777	tags=42%, list=14%, signal=49%	
PID_A6B1_A6B4_INTEGRIN_PATHWAY%MSIGDB_C2%PID_A6B1_A6B4_INTEGRIN_PATHWAY	PID_A6B1_A6B4_INTEGRIN_PATHWAY%MSIGDB_C2%PID_A6B1_A6B4_INTEGRIN_PATHWAY	Details ...	29	0.5474048	2.0417879	0.0	0.12526359	0.468	1614	tags=31%, list=13%, signal=35%	
GLYCOSAMINOGLYCAN BIOSYNTHETIC PROCESS%GOBP%GO:0006024	GLYCOSAMINOGLYCAN BIOSYNTHETIC PROCESS%GOBP%GO:0006024	Details ...	29	0.5383564	2.0325994	0.0	0.121327065	0.492	2452	tags=41%, list=19%, signal=51%	
MULTIVESICULAR BODY SORTING PATHWAY%GOBP%GO:0071985	MULTIVESICULAR BODY SORTING PATHWAY%GOBP%GO:0071985	Details ...	43	0.4858366	2.0286674	0.0	0.11528692	0.51	1777	tags=37%, list=14%, signal=43%	
REGULATION OF INTERLEUKIN-10 PRODUCTION%GOBP%GO:0032653	REGULATION OF INTERLEUKIN-10 PRODUCTION%GOBP%GO:0032653	Details ...	20	0.5933045	2.017092	0.0	0.11732843	0.549	2182	tags=50%, list=17%, signal=60%	
